127.0.0.1 - - [25/May/2022:09:09:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/May/2022:09:09:57 +0900] "GET /client/question/anchor.html HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [25/May/2022:09:09:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:09:09:58 +0900] "GET /client/question/cat HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [25/May/2022:09:10:00 +0900] "GET /client/question/dog HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [25/May/2022:09:10:16 +0900] "GET /client/question/anchor.html HTTP/1.1" 200 8131
0:0:0:0:0:0:0:1 - - [25/May/2022:09:10:16 +0900] "GET /client/question/anchor.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:20 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:26 +0900] "GET /client/html/ex18_form.html?txtName=fdsfds HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:29 +0900] "GET /client/html/ex18_form.html?txtName=fdsfsdf HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:32 +0900] "GET /client/html/ex18_form.html?txtName=%EB%85%B8 HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:35 +0900] "GET /client/html/ex18_form.html?txtName HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2022:09:15:43 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:09:16:17 +0900] "GET /client/html/ex18_form.html?txtName=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2022:09:26:38 +0900] "GET /client/html/ex18_form.html?txtName=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [25/May/2022:09:26:42 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [25/May/2022:09:26:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:09:27:49 +0900] "GET /client/html/ex18.jsp?txtName=test HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/May/2022:09:30:48 +0900] "GET /client/html/ex18.jsp?txtName=test HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [25/May/2022:09:30:56 +0900] "GET /client/html/ex18.jsp?txtName=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [25/May/2022:09:33:13 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [25/May/2022:09:33:18 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [25/May/2022:09:33:27 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [25/May/2022:09:35:24 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [25/May/2022:09:35:36 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [25/May/2022:09:35:37 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:09:35:37 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:09:35:39 +0900] "GET /client/html/ex18.jsp?txtName=test HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [25/May/2022:09:43:23 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [25/May/2022:09:43:23 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:09:43:25 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [25/May/2022:10:04:43 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [25/May/2022:10:04:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:10:05:44 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [25/May/2022:10:10:27 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [25/May/2022:10:14:29 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [25/May/2022:10:14:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:10:15:15 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 2729
0:0:0:0:0:0:0:1 - - [25/May/2022:10:15:41 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [25/May/2022:10:15:42 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:10:16:04 +0900] "GET /client/html/ex18_form.html?txt1=%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%A7%88 HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [25/May/2022:10:17:25 +0900] "GET /client/html/ex18_form.html?txt1=%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%A7%88 HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [25/May/2022:10:18:33 +0900] "GET /client/html/ex18_form.html?txt1=%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%A7%88 HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [25/May/2022:10:19:27 +0900] "GET /client/html/ex18_form.html?txt1=%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%A7%88 HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [25/May/2022:10:21:18 +0900] "GET /client/html/ex18_form.html?txt1=%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%A7%88 HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [25/May/2022:10:21:19 +0900] "GET /client/html/ex18_form.html?txt1=%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%A7%88 HTTP/1.1" 304 -
